Tickers,Company Names
AMTD UN Equity,TD AMERITRADE HO
AMTG UN Equity,APOLLO RESIDENTI
AMWD UW Equity,AMER WOODMARK CO
AMZN UW Equity,AMAZON.COM INC
AN UN Equity,AUTONATION INC
ANAC UQ Equity,ANACOR PHARMACEU
ANAD UW Equity,ANADIGICS INC
ANAT UW Equity,AMER NATL INSUR
ANCX UQ Equity,ACCESS NATL CORP
ANDE UW Equity,ANDERSONS INC
ANEN UW Equity,ANAREN INC
ANF UN Equity,ABERCROMBIE & FI
ANGI UQ Equity,ANGIE'S LIST INC
ANGO UW Equity,ANGIODYNAMICS IN
ANH UN Equity,ANWORTH MORTGAGE
ANIK UW Equity,ANIKA THERAPEUTI
ANN UN Equity,ANN INC
ANR UN Equity,ALPHA NATURAL RE
ANSS UW Equity,ANSYS INC
ANV UA Equity,ALLIED NEVADA GO
AOI UN Equity,ALLIANCE ONE INT
AOL UN Equity,AOL INC
AON UN Equity,AON PLC
AOS UN Equity,SMITH (A.O.)CORP
AOSL UW Equity,ALPHA & OMEGA SE
AP UN Equity,AMPCO-PITTSBURGH
APA UN Equity,APACHE CORP
APAGF UR Equity,APCO OIL AND GAS
APAM UN Equity,ARTISAN PARTNE-A
APC UN Equity,ANADARKO PETROLE
APD UN Equity,AIR PRODS & CHEM
APEI UW Equity,AMERICAN PUBLIC
APFC UQ Equity,AMER PAC CORP
APH UN Equity,AMPHENOL CORP-A
APOG UW Equity,APOGEE ENTERPR
APOL UW Equity,APOLLO GROUP-A
APP UA Equity,AMERICAN APPAREL
ARAY UW Equity,ACCURAY INC
ARC UN Equity,ARC DOCUMENT SOL
ARCC UW Equity,ARES CAPITAL COR
ARCP UW Equity,AMERICAN REALTY
ARDNA UQ Equity,ARDEN GROUP INC
ARE UN Equity,ALEXANDRIA REAL
AREX UW Equity,APPROACH RESOURC
ARG UN Equity,AIRGAS INC
ARI UN Equity,APOLLO COMMERCIA
ARIA UW Equity,ARIAD PHARM
ARII UW Equity,AMERICAN RAILCAR
ARNA UW Equity,ARENA PHARMACEUT
ARO UN Equity,AEROPOSTALE INC
AROW UW Equity,ARROW FINL CORP
ARPI UN Equity,AMERICAN RESIDEN
ARQL UQ Equity,ARQULE INC
ARR UN Equity,ARMOUR RESIDENTI
ARRS UW Equity,ARRIS GROUP INC
ARRY UQ Equity,ARRAY BIOPHARMA
ARSD UN Equity,ARABIAN AMER DEV
ARTC UW Equity,ARTHROCARE CORP
ARTNA UW Equity,ARTESIAN RES-A
ARUN UW Equity,ARUBA NETWORKS I
ARW UN Equity,ARROW ELECTRONIC
ARX UN Equity,AEROFLEX HOLDING
ASBC UW Equity,ASSOC BANC-CORP
ASCMA UW Equity,ASCENT CAPITAL-A
ASEI UW Equity,AMERICAN SCIENCE
ASGN UN Equity,ON ASSIGNMENT
ASH UN Equity,ASHLAND INC
ASNA UW Equity,ASCENA RETAIL GR
ASTE UW Equity,ASTEC INDUSTRIES
AT UN Equity,ATLANTIC POWER
ATEC UW Equity,ALPHATEC HOLDING
ATHL UN Equity,ATHLON ENERGY IN
ATHN UW Equity,ATHENAHEALTH INC
ATI UN Equity,ALLEGHENY TECH
ATK UN Equity,ALLIANT TECHSYS
ATLO UR Equity,AMES NATL CORP
ATMI UW Equity,ATMI INC
ATML UW Equity,ATMEL CORP
ATNI UW Equity,ATLANTIC TELE-NE
ATNY UR Equity,API TECHNOLOGIES
ATO UN Equity,ATMOS ENERGY
ATR UN Equity,APTARGROUP INC
ATRC UQ Equity,ATRICURE INC
ATRI UW Equity,ATRION CORP
ATRO UW Equity,ASTRONICS CORP
ATRS UR Equity,ANTARES PHARMA
ATSG UW Equity,AIR TRANSPORT SE
ATU UN Equity,ACTUANT CORP-A
ATVI UW Equity,ACTIVISION BLIZZ
ATW UN Equity,ATWOOD OCEANICS
ATX UQ Equity,COSTA INC
AUXL UW Equity,AUXILIUM PHARMAC
AVA UN Equity,AVISTA CORP
AVAV UW Equity,AEROVIRONMENT IN
AVB UN Equity,AVALONBAY COMMUN
AVD UN Equity,AMER VANGUARD
AVEO UW Equity,AVEO PHARMACEUTI
AVG UN Equity,AVG TECHNOLOGIES
AVGO UW Equity,AVAGO TECHNOLOGI
AVHI UW Equity,AV HOMES INC
AVID UW Equity,AVID TECHNOLOGY
AVIV UN Equity,AVIV REIT INC
AVNR UW Equity,AVANIR PHARM INC
AVNW UW Equity,AVIAT NETWORKS I
AVP UN Equity,AVON PRODUCTS
AVT UN Equity,AVNET INC
AVX UN Equity,AVX CORP
AVY UN Equity,AVERY DENNISON
AWAY UW Equity,HOMEAWAY INC
AWH UN Equity,ALLIED WORLD ASS
AWI UN Equity,ARMSTRONG WORLD
AWK UN Equity,AMERICAN WATER W
AWR UN Equity,AMER STATES WATE
AXAS UR Equity,ABRAXAS PETRO
AXDX UR Equity,ACCELERATE DIAGN
AXE UN Equity,ANIXTER INTL INC
AXL UN Equity,AMER AXLE & MFG
AXLL UN Equity,AXIALL CORP
AXP UN Equity,AMERICAN EXPRESS
AXS UN Equity,AXIS CAPITAL
AYI UN Equity,ACUITY BRANDS
AYR UN Equity,AIRCASTLE LTD
AZO UN Equity,AUTOZONE INC
AZPN UW Equity,ASPEN TECHNOLOGY
AZZ UN Equity,AZZ INC
B UN Equity,BARNES GROUP INC
BA UN Equity,BOEING CO/THE
BABY UW Equity,NATUS MEDICAL
BAC UN Equity,BANK OF AMERICA
BAGL UQ Equity,EINSTEIN NOAH RE
BAGR UR Equity,DIVERSIFIED REST
BAH UN Equity,BOOZ ALLEN HAMIL
BANC UQ Equity,BANC OF CALIFORN
BANF UW Equity,BANCFIRST CORP
BANR UW Equity,BANNER CORPORATI
BAS UN Equity,BASIC ENERGY SVS
BAX UN Equity,BAXTER INTL INC
BBBY UW Equity,BED BATH &BEYOND
BBCN UW Equity,BBCN BANCORP INC
BBG UN Equity,BILL BARRETT COR
BBGI UQ Equity,BEASLEY BROAD -A
BBNK UW Equity,BRIDGE CAPITAL H
BBOX UW Equity,BLACK BOX CORP
BBRG UW Equity,BRAVO BRIO RESTA
BBSI UW Equity,BARRETT BUS SVCS
BBT UN Equity,BB&T CORP
BBX UN Equity,BBX CAPITAL CORP
BBY UN Equity,BEST BUY CO INC
BC UN Equity,BRUNSWICK CORP
BCC UN Equity,BOISE CASCADE CO
BCEI UN Equity,BONANZA CREEK EN
BCO UN Equity,BRINK'S CO/THE
BCOR UW Equity,BLUCORA INC
BCOV UW Equity,BRIGHTCOVE
BCPC UW Equity,BALCHEM CORP
BCR UN Equity,CR BARD INC
BDBD UW Equity,BOULDER BRANDS I
BDC UN Equity,BELDEN INC
BDE UW Equity,BLACK DIAMOND IN
BDGE UW Equity,BRIDGE BANCORP
BDN UN Equity,BRANDYWINE RLTY
BDSI UR Equity,BIODELIVERY SCIE
BDX UN Equity,BECTON DICKINSON
BEAM UN Equity,BEAM INC
BEAV UW Equity,B/E AEROSPACE IN
BEBE UW Equity,BEBE STORES INC
BECN UW Equity,BEACON ROOFING S
BEE UN Equity,STRATEGIC HOTELS
BELFB UW Equity,BEL FUSE INC-B
BEN UN Equity,FRANKLIN RES INC
BERY UN Equity,BERRY PLASTICS G
BF/B UN Equity,BROWN-FORMAN -B
BFAM UN Equity,BRIGHT HORIZONS
