Date,AA UN Equity,AXP UN Equity,BA UN Equity,BAC UN Equity,CAT UN Equity,CSCO UW Equity,CVX UN Equity,DD UN Equity,DIS UN Equity,GE UN Equity,HD UN Equity,HPQ UN Equity,IBM UN Equity,INTC UW Equity,JNJ UN Equity,JPM UN Equity,KO UN Equity,MCD UN Equity,MMM UN Equity,MRK UN Equity,MSFT UW Equity,PFE UN Equity,PG UN Equity,T UN Equity,TRV UN Equity,UNH UN Equity,UTX UN Equity,VZ UN Equity,WMT UN Equity,XOM UN Equity
2008/1/25,30.69,45.44,77.03,39.48,65.93,24.2,81.82,44.72,28.68,34,28.53,43.74,104.52,20,62.46,43.64,29.205,54.1,75.51,47.79,32.94,22.61,65.31,35.26,45.43,50,72.75,35.1252,48.09,83.94
2008/1/28,31.47,47.4,77.6,41.2,68.21,24.1,82.86,44.84,29.37,34.72,29.14,43.8,104.98,20.29,63.07,45.57,29.705,51.07,77.44,49.25,32.72,22.99,65.29,36.4,48,52,73.73,35.4508,48.71,85.13
2008/1/29,32.66,47.8,80.96,41.94,68.99,24.06,82.6,45.15,28.8,34.76,29.71,43.38,106.1,20.5,62.97,47.45,29.275,50.75,78.02,48.01,32.6,23.18,64.68,37.89,47.63,50.78,73.18,36.0089,49.01,85.08
2008/1/30,32.7,47.34,82.92,42.21,68.44,24.36,83.23,44.56,29.41,34.99,29.38,43.54,105.67,20.69,62.2,47.35,28.885,51.01,78.22,46.69,32.2,23.1,65.09,37.35,47.83,50.22,72.89,35.6089,49.16,85.28
2008/1/31,33.1,49.32,83.18,44.35,71.14,24.5,84.5,45.18,29.93,35.41,30.67,43.75,107.34,21.2,63.26,47.55,29.585,53.55,79.65,46.28,32.6,23.39,65.95,38.49,48.1,50.84,73.41,36.1298,50.88,86.4
2008/2/1,34.28,49.6,82.76,45.03,71.76,24.94,82.49,45.95,30.66,36.16,30.45,44.42,109.08,21.78,63.36,48.25,29.63,54.22,81.21,45.98,30.49,23.59,66.05,38.28,49.63,50.1,74.12,36.0461,51.18,85.95
2008/2/4,34.08,47.66,82.9,44.03,70.95,23.82,82.02,45.64,30.9,35.37,29.35,44.06,107.93,21.2,63.47,46.22,29.315,53.88,80.57,47.47,30.19,23.63,66.15,38.16,48.82,49.9,74.05,35.9159,50.07,85.44
2008/2/5,32.67,45.7,81.69,42.37,67.52,23.26,79.74,44.61,30.07,34.21,27.99,42.98,105.02,20.1,62.87,43.89,28.7,53.84,79.09,45.95,29.03,22.96,65.04,36.73,47.23,49.4,72.35,34.2601,49.56,82.11
2008/2/6,32.41,45.87,79.91,42.33,67.98,23.08,77.51,44.74,31.5,34.2,27.65,42.16,103.59,19.9,63.05,43.72,28.855,53.73,79.18,45.71,28.52,22.59,65.31,36.4,47.35,49.38,71.87,34.1391,48.83,81.44
2008/2/7,32.78,46.45,79.75,43.37,68.32,23.38,78.74,45.18,31.72,34.23,28.4,40.5,102.34,20.05,62.81,45.11,29.225,54.46,79.12,45.7,28.12,22.67,65.77,37,47.25,49.03,71.47,34.3717,49.84,81.89
2008/2/8,33.76,44.98,79.33,42.16,68.01,23.59,79.26,45.44,32.12,33.84,27.97,41.88,103.27,20.27,62.03,43.82,29.625,55.64,78.56,44.53,28.56,22.3,65.02,36.37,46.56,48.2,71.35,33.8787,48.76,81.71
2008/2/11,34.06,44.63,81.13,42.14,69.42,23.52,80.43,45.93,31.93,34.01,28.69,42.63,105.14,20.68,61.88,43.35,29.75,55.98,79.28,45.31,28.21,22.2,66,36.87,45.91,48.22,71.57,34.2229,49.6,83.22
2008/2/12,33.49,45.08,83.56,42.82,70,23.43,81.12,47.12,32.03,34.37,28.38,42.88,106.53,20.9,62.97,43.31,29.96,56.37,79.1,46.53,28.34,22.68,67.16,37.51,47.73,48.27,72.82,34.9391,50.25,84.38
2008/2/13,35.51,46.85,85.48,43.33,71.65,24.06,82.12,46.66,32.78,34.98,28.34,44.05,108.42,21.21,63.41,44.1,29.695,56.64,81.38,47.57,28.99,22.74,67,38.67,48,46.97,73.52,35.9624,50.66,85.49
2008/2/14,35.36,45.69,85.22,42.24,70.44,23.53,82.84,46.22,32.32,34.39,27.51,43.26,106.13,20.46,62.79,42.61,29.275,55.58,80.29,46.9,28.5,22.45,66.63,37.84,47.29,46.61,72.65,35.367,49.97,85.55
2008/2/15,35.72,45.11,85.18,42.7,69.95,23.28,83.6,45.49,32.49,34.37,27.52,43.87,106.16,20.11,62.9,43.25,29.38,55.3,79.95,47.53,28.42,22.33,66.3,37.88,47.87,47.74,71.53,35.1903,49.44,85.37
2008/2/19,36.2,44.55,85.37,42.67,70.4,22.86,84.81,46.22,32.19,34.28,27.31,43.95,105,20.16,63.66,42.83,29.05,55.64,79.85,47.14,28.18,22.37,66.35,35.89,47.87,48.13,71.95,32.874,49.66,87.01
2008/2/20,36.83,45.3,84,42.97,71.25,23.2,86.34,46.46,32.58,34.36,27.72,47.44,107.85,20.38,63.23,43.15,29.115,56.2,79.94,47.02,28.22,22.47,66.17,34.36,48.16,48.1,72.05,32.781,49.7,88.1
